id, order, scheduledStopPointRef, forAlighting, forBoarding, journeyPatternRef
113815489239311002_5,6,113815489239311002_5,1,1,113815489239311002
113815489239311002_6,7,113815489239311002_6,1,1,113815489239311002
113815489239311002_7,8,113815489239311002_7,1,1,113815489239311002
113815489239311002_8,9,113815489239311002_8,1,1,113815489239311002
113815489239311002_9,10,113815489239311002_9,1,1,113815489239311002
113815516239311002_1,2,113815516239311002_1,1,1,113815516239311002
113815516239311002_2,3,113815516239311002_2,1,1,113815516239311002
113815516239311002_3,4,113815516239311002_3,1,1,113815516239311002
113815516239311002_4,5,113815516239311002_4,1,1,113815516239311002
113815516239311002_5,6,113815516239311002_5,1,1,113815516239311002
113815516239311002_6,7,113815516239311002_6,1,1,113815516239311002
113815516239311002_7,8,113815516239311002_7,1,1,113815516239311002
113815516239311002_8,9,113815516239311002_8,1,1,113815516239311002
113815516239311002_9,10,113815516239311002_9,1,1,113815516239311002
113815658239311002_1,2,113815658239311002_1,1,1,113815658239311002
113815658239311002_2,3,113815658239311002_2,1,1,113815658239311002
113815658239311002_3,4,113815658239311002_3,1,1,113815658239311002
113815658239311002_4,5,113815658239311002_4,1,1,113815658239311002
113815658239311002_5,6,113815658239311002_5,1,1,113815658239311002
113815658239311002_6,7,113815658239311002_6,1,1,113815658239311002
113815658239311002_7,8,113815658239311002_7,1,1,113815658239311002
113815658239311002_8,9,113815658239311002_8,1,1,113815658239311002
113815658239311002_9,10,113815658239311002_9,1,2,113815658239311002
113815742239311002_1,2,113815742239311002_1,2,1,113815742239311002
113815742239311002_2,3,113815742239311002_2,1,1,113815742239311002
113815742239311002_3,4,113815742239311002_3,1,1,113815742239311002
113815778239311002_1,2,113815778239311002_1,1,1,113815778239311002
113815778239311002_2,3,113815778239311002_2,1,1,113815778239311002
113815778239311002_3,4,113815778239311002_3,1,1,113815778239311002
113815778239311002_4,5,113815778239311002_4,1,1,113815778239311002
113815778239311002_5,6,113815778239311002_5,1,2,113815778239311002
113816147239315603_1,2,113816147239315603_1,2,1,113816147239315603
113816147239315603_2,3,113816147239315603_2,1,1,113816147239315603
113816147239315603_3,4,113816147239315603_3,1,1,113816147239315603
113816147239315603_4,5,113816147239315603_4,1,1,113816147239315603
113816147239315603_5,6,113816147239315603_5,1,1,113816147239315603
113816147239315603_6,7,113816147239315603_6,1,1,113816147239315603
113816147239315603_7,8,113816147239315603_7,1,1,113816147239315603
113816147239315603_8,9,113816147239315603_8,1,1,113816147239315603
113816147239315603_9,10,113816147239315603_9,1,2,113816147239315603
113852628239465003_1,2,113852628239465003_1,2,1,113852628239465003
113852628239465003_2,3,113852628239465003_2,1,1,113852628239465003
113852628239465003_3,4,113852628239465003_3,1,1,113852628239465003
113852628239465003_4,5,113852628239465003_4,1,1,113852628239465003
113852628239465003_5,6,113852628239465003_5,1,1,113852628239465003
113852628239465003_6,7,113852628239465003_6,1,1,113852628239465003
113852628239465003_7,8,113852628239465003_7,1,1,113852628239465003
113852628239465003_8,9,113852628239465003_8,1,1,113852628239465003
113852628239465003_9,10,113852628239465003_9,1,1,113852628239465003
113852628239465003_10,11,113852628239465003_10,1,1,113852628239465003
113852655239465003_1,2,113852655239465003_1,1,1,113852655239465003
113852655239465003_2,3,113852655239465003_2,1,1,113852655239465003
113852655239465003_3,4,113852655239465003_3,1,1,113852655239465003
113852655239465003_4,5,113852655239465003_4,1,1,113852655239465003
113852655239465003_5,6,113852655239465003_5,1,1,113852655239465003
113852655239465003_6,7,113852655239465003_6,1,1,113852655239465003
