id, order, scheduledStopPointRef, forAlighting, forBoarding, journeyPatternRef
113287739237309601_24,25,113287739237309601_24,1,2,113287739237309601
113287570237309601_1,2,113287570237309601_1,2,1,113287570237309601
113287570237309601_2,3,113287570237309601_2,1,1,113287570237309601
113287570237309601_3,4,113287570237309601_3,1,1,113287570237309601
113287570237309601_4,5,113287570237309601_4,1,1,113287570237309601
113287570237309601_5,6,113287570237309601_5,1,1,113287570237309601
113287570237309601_6,7,113287570237309601_6,1,1,113287570237309601
113287570237309601_7,8,113287570237309601_7,1,1,113287570237309601
113287570237309601_8,9,113287570237309601_8,1,1,113287570237309601
113287570237309601_9,10,113287570237309601_9,1,1,113287570237309601
113287570237309601_10,11,113287570237309601_10,1,1,113287570237309601
113287570237309601_11,12,113287570237309601_11,1,1,113287570237309601
113287570237309601_12,13,113287570237309601_12,1,1,113287570237309601
113287570237309601_13,14,113287570237309601_13,1,1,113287570237309601
113287570237309601_14,15,113287570237309601_14,1,1,113287570237309601
113287570237309601_15,16,113287570237309601_15,1,1,113287570237309601
113287570237309601_16,17,113287570237309601_16,1,1,113287570237309601
113287570237309601_17,18,113287570237309601_17,1,1,113287570237309601
113287570237309601_18,19,113287570237309601_18,1,1,113287570237309601
113287570237309601_19,20,113287570237309601_19,1,1,113287570237309601
113287570237309601_20,21,113287570237309601_20,1,1,113287570237309601
113287570237309601_21,22,113287570237309601_21,1,1,113287570237309601
113287570237309601_22,23,113287570237309601_22,1,1,113287570237309601
113287570237309601_23,24,113287570237309601_23,1,2,113287570237309601
113287572237309601_1,2,113287572237309601_1,1,1,113287572237309601
113287572237309601_2,3,113287572237309601_2,1,1,113287572237309601
113287572237309601_3,4,113287572237309601_3,1,1,113287572237309601
113287572237309601_4,5,113287572237309601_4,1,1,113287572237309601
113287572237309601_5,6,113287572237309601_5,1,1,113287572237309601
113287572237309601_6,7,113287572237309601_6,1,1,113287572237309601
113287572237309601_7,8,113287572237309601_7,1,1,113287572237309601
113287572237309601_8,9,113287572237309601_8,1,1,113287572237309601
113287572237309601_9,10,113287572237309601_9,1,1,113287572237309601
113287572237309601_10,11,113287572237309601_10,1,1,113287572237309601
113287572237309601_11,12,113287572237309601_11,1,1,113287572237309601
113287572237309601_12,13,113287572237309601_12,1,1,113287572237309601
113287572237309601_13,14,113287572237309601_13,1,1,113287572237309601
113287572237309601_14,15,113287572237309601_14,1,1,113287572237309601
113287572237309601_15,16,113287572237309601_15,1,1,113287572237309601
113287572237309601_16,17,113287572237309601_16,1,1,113287572237309601
113287572237309601_17,18,113287572237309601_17,1,1,113287572237309601
113287572237309601_18,19,113287572237309601_18,1,1,113287572237309601
113287572237309601_19,20,113287572237309601_19,1,1,113287572237309601
113287572237309601_20,21,113287572237309601_20,1,1,113287572237309601
113287572237309601_21,22,113287572237309601_21,1,1,113287572237309601
113287572237309601_22,23,113287572237309601_22,1,1,113287572237309601
113287572237309601_23,24,113287572237309601_23,1,2,113287572237309601
113129911236811001_1,2,113129911236811001_1,1,2,113129911236811001
113129911236811001_2,3,113129911236811001_2,2,1,113129911236811001
113129911236811001_3,4,113129911236811001_3,1,1,113129911236811001
113129911236811001_4,5,113129911236811001_4,1,1,113129911236811001
113129911236811001_5,6,113129911236811001_5,1,1,113129911236811001
113129911236811001_6,7,113129911236811001_6,1,1,113129911236811001
113129911236811001_7,8,113129911236811001_7,1,1,113129911236811001
113129911236811001_8,9,113129911236811001_8,1,1,113129911236811001
113129911236811001_9,10,113129911236811001_9,1,2,113129911236811001
113129913236811001_1,2,113129913236811001_1,2,1,113129913236811001
113129913236811001_2,3,113129913236811001_2,1,1,113129913236811001
113129913236811001_3,4,113129913236811001_3,1,1,113129913236811001
113129913236811001_4,5,113129913236811001_4,1,1,113129913236811001
113129913236811001_5,6,113129913236811001_5,1,1,113129913236811001
113129913236811001_6,7,113129913236811001_6,1,1,113129913236811001
113129913236811001_7,8,113129913236811001_7,1,1,113129913236811001
113129913236811001_8,9,113129913236811001_8,1,2,113129913236811001
113129965236811001_1,2,113129965236811001_1,1,2,113129965236811001
113129965236811001_2,3,113129965236811001_2,2,1,113129965236811001
113129965236811001_3,4,113129965236811001_3,1,1,113129965236811001
113129965236811001_4,5,113129965236811001_4,1,1,113129965236811001
113129965236811001_5,6,113129965236811001_5,1,1,113129965236811001
113129965236811001_6,7,113129965236811001_6,1,1,113129965236811001
113129965236811001_7,8,113129965236811001_7,1,1,113129965236811001
113129965236811001_8,9,113129965236811001_8,1,1,113129965236811001
113129965236811001_9,10,113129965236811001_9,1,1,113129965236811001
113129965236811001_10,11,113129965236811001_10,1,1,113129965236811001
113129965236811001_11,12,113129965236811001_11,1,1,113129965236811001
113129965236811001_12,13,113129965236811001_12,1,1,113129965236811001
113129965236811001_13,14,113129965236811001_13,1,1,113129965236811001
113129965236811001_14,15,113129965236811001_14,1,1,113129965236811001
113129965236811001_15,16,113129965236811001_15,1,1,113129965236811001
113129965236811001_16,17,113129965236811001_16,1,1,113129965236811001
113129965236811001_17,18,113129965236811001_17,1,1,113129965236811001
113129965236811001_18,19,113129965236811001_18,1,1,113129965236811001
113129965236811001_19,20,113129965236811001_19,1,1,113129965236811001
113129965236811001_20,21,113129965236811001_20,1,1,113129965236811001
113129965236811001_21,22,113129965236811001_21,1,1,113129965236811001
113129965236811001_22,23,113129965236811001_22,1,1,113129965236811001
113129965236811001_23,24,113129965236811001_23,1,1,113129965236811001
113129965236811001_24,25,113129965236811001_24,1,2,113129965236811001
113129988236811001_1,2,113129988236811001_1,2,2,113129988236811001
113129988236811001_2,3,113129988236811001_2,2,1,113129988236811001
113129988236811001_3,4,113129988236811001_3,1,1,113129988236811001
113129988236811001_4,5,113129988236811001_4,1,1,113129988236811001
113129988236811001_5,6,113129988236811001_5,1,1,113129988236811001
113129988236811001_6,7,113129988236811001_6,1,1,113129988236811001
113129988236811001_7,8,113129988236811001_7,1,1,113129988236811001
113129988236811001_8,9,113129988236811001_8,1,1,113129988236811001
113129988236811001_9,10,113129988236811001_9,1,1,113129988236811001
113129988236811001_10,11,113129988236811001_10,1,1,113129988236811001
113129988236811001_11,12,113129988236811001_11,1,1,113129988236811001
113129988236811001_12,13,113129988236811001_12,1,1,113129988236811001
113129988236811001_13,14,113129988236811001_13,1,1,113129988236811001
113129988236811001_14,15,113129988236811001_14,1,1,113129988236811001
113129988236811001_15,16,113129988236811001_15,1,1,113129988236811001
113129988236811001_16,17,113129988236811001_16,1,1,113129988236811001
113129988236811001_17,18,113129988236811001_17,1,1,113129988236811001
113129988236811001_18,19,113129988236811001_18,1,1,113129988236811001
113129988236811001_19,20,113129988236811001_19,1,1,113129988236811001
113129988236811001_20,21,113129988236811001_20,1,1,113129988236811001
113129988236811001_21,22,113129988236811001_21,1,1,113129988236811001
113129988236811001_22,23,113129988236811001_22,1,1,113129988236811001
113129988236811001_23,24,113129988236811001_23,1,1,113129988236811001
113129988236811001_24,25,113129988236811001_24,1,2,113129988236811001
113129906236811001_1,2,113129906236811001_1,2,1,113129906236811001
113129906236811001_2,3,113129906236811001_2,1,1,113129906236811001
113129906236811001_3,4,113129906236811001_3,1,1,113129906236811001
113129906236811001_4,5,113129906236811001_4,1,1,113129906236811001
113129906236811001_5,6,113129906236811001_5,1,1,113129906236811001
113129906236811001_6,7,113129906236811001_6,1,1,113129906236811001
113129906236811001_7,8,113129906236811001_7,1,1,113129906236811001
113129906236811001_8,9,113129906236811001_8,1,1,113129906236811001
113129906236811001_9,10,113129906236811001_9,1,1,113129906236811001
113129906236811001_10,11,113129906236811001_10,1,1,113129906236811001
113129906236811001_11,12,113129906236811001_11,1,1,113129906236811001
113129906236811001_12,13,113129906236811001_12,1,1,113129906236811001
113129906236811001_13,14,113129906236811001_13,1,1,113129906236811001
113129906236811001_14,15,113129906236811001_14,1,1,113129906236811001
113129906236811001_15,16,113129906236811001_15,1,1,113129906236811001
113129906236811001_16,17,113129906236811001_16,1,1,113129906236811001
113129906236811001_17,18,113129906236811001_17,1,1,113129906236811001
113129906236811001_18,19,113129906236811001_18,1,1,113129906236811001
113129906236811001_19,20,113129906236811001_19,1,1,113129906236811001
113129906236811001_20,21,113129906236811001_20,1,1,113129906236811001
113129906236811001_21,22,113129906236811001_21,1,1,113129906236811001
113129906236811001_22,23,113129906236811001_22,1,1,113129906236811001
113129906236811001_23,24,113129906236811001_23,1,2,113129906236811001
113129907236811001_1,2,113129907236811001_1,2,1,113129907236811001
113129907236811001_2,3,113129907236811001_2,1,1,113129907236811001
113129907236811001_3,4,113129907236811001_3,1,1,113129907236811001
113129907236811001_4,5,113129907236811001_4,1,1,113129907236811001
113129907236811001_5,6,113129907236811001_5,1,1,113129907236811001
113129907236811001_6,7,113129907236811001_6,1,1,113129907236811001
113129907236811001_7,8,113129907236811001_7,1,1,113129907236811001
113129907236811001_8,9,113129907236811001_8,1,1,113129907236811001
113129907236811001_9,10,113129907236811001_9,1,1,113129907236811001
113129907236811001_10,11,113129907236811001_10,1,2,113129907236811001
113129909236811001_1,2,113129909236811001_1,2,1,113129909236811001
113129909236811001_2,3,113129909236811001_2,1,1,113129909236811001
113129909236811001_3,4,113129909236811001_3,1,1,113129909236811001
113129909236811001_4,5,113129909236811001_4,1,1,113129909236811001
113129909236811001_5,6,113129909236811001_5,1,1,113129909236811001
113129909236811001_6,7,113129909236811001_6,1,1,113129909236811001
113129909236811001_7,8,113129909236811001_7,1,1,113129909236811001
113129909236811001_8,9,113129909236811001_8,1,2,113129909236811001
113136265236823501_1,2,113136265236823501_1,2,1,113136265236823501
113136265236823501_2,3,113136265236823501_2,1,1,113136265236823501
113136265236823501_3,4,113136265236823501_3,1,1,113136265236823501
113136265236823501_4,5,113136265236823501_4,1,1,113136265236823501
113136265236823501_5,6,113136265236823501_5,1,1,113136265236823501
113136265236823501_6,7,113136265236823501_6,1,1,113136265236823501
113136265236823501_7,8,113136265236823501_7,1,1,113136265236823501
113136265236823501_8,9,113136265236823501_8,1,1,113136265236823501
113136265236823501_9,10,113136265236823501_9,1,1,113136265236823501
113136265236823501_10,11,113136265236823501_10,1,1,113136265236823501
113136265236823501_11,12,113136265236823501_11,1,1,113136265236823501
113136265236823501_12,13,113136265236823501_12,1,1,113136265236823501
113136265236823501_13,14,113136265236823501_13,1,1,113136265236823501
113136265236823501_14,15,113136265236823501_14,1,1,113136265236823501
113136265236823501_15,16,113136265236823501_15,1,1,113136265236823501
113136265236823501_16,17,113136265236823501_16,1,1,113136265236823501
113136265236823501_17,18,113136265236823501_17,1,1,113136265236823501
113136265236823501_18,19,113136265236823501_18,1,1,113136265236823501
113136265236823501_19,20,113136265236823501_19,1,1,113136265236823501
113136265236823501_20,21,113136265236823501_20,1,1,113136265236823501
113136265236823501_21,22,113136265236823501_21,1,1,113136265236823501
113136265236823501_22,23,113136265236823501_22,1,1,113136265236823501
113136265236823501_23,24,113136265236823501_23,1,2,113136265236823501
112961432236300500_1,2,112961432236300500_1,2,1,112961432236300500
112961432236300500_2,3,112961432236300500_2,1,1,112961432236300500
112961432236300500_3,4,112961432236300500_3,1,1,112961432236300500
112961432236300500_4,5,112961432236300500_4,1,1,112961432236300500
112961432236300500_5,6,112961432236300500_5,1,1,112961432236300500
112961432236300500_6,7,112961432236300500_6,1,1,112961432236300500
112961432236300500_7,8,112961432236300500_7,1,1,112961432236300500
112961432236300500_8,9,112961432236300500_8,1,1,112961432236300500
112961432236300500_9,10,112961432236300500_9,1,1,112961432236300500
112961432236300500_10,11,112961432236300500_10,1,1,112961432236300500
112961432236300500_11,12,112961432236300500_11,1,1,112961432236300500
112961432236300500_12,13,112961432236300500_12,1,1,112961432236300500
112961432236300500_13,14,112961432236300500_13,1,1,112961432236300500
112961432236300500_14,15,112961432236300500_14,1,1,112961432236300500
112961432236300500_15,16,112961432236300500_15,1,1,112961432236300500
112961432236300500_16,17,112961432236300500_16,1,1,112961432236300500
112961432236300500_17,18,112961432236300500_17,1,1,112961432236300500
112961432236300500_18,19,112961432236300500_18,1,1,112961432236300500
112961432236300500_19,20,112961432236300500_19,1,1,112961432236300500
112961432236300500_20,21,112961432236300500_20,1,1,112961432236300500
112961433236300500_1,2,112961433236300500_1,1,1,112961433236300500
112961433236300500_2,3,112961433236300500_2,1,1,112961433236300500
112961433236300500_3,4,112961433236300500_3,1,1,112961433236300500
112961433236300500_4,5,112961433236300500_4,1,1,112961433236300500
112961433236300500_5,6,112961433236300500_5,1,1,112961433236300500
112961433236300500_6,7,112961433236300500_6,1,1,112961433236300500
112961433236300500_7,8,112961433236300500_7,1,1,112961433236300500
112961433236300500_8,9,112961433236300500_8,1,1,112961433236300500
112961433236300500_9,10,112961433236300500_9,1,1,112961433236300500
112961433236300500_10,11,112961433236300500_10,1,1,112961433236300500
112961433236300500_11,12,112961433236300500_11,1,1,112961433236300500
112961433236300500_12,13,112961433236300500_12,1,1,112961433236300500
112961433236300500_13,14,112961433236300500_13,1,1,112961433236300500
112961433236300500_14,15,112961433236300500_14,1,1,112961433236300500
112961433236300500_15,16,112961433236300500_15,1,1,112961433236300500
112961433236300500_16,17,112961433236300500_16,1,1,112961433236300500
112961433236300500_17,18,112961433236300500_17,1,1,112961433236300500
112961433236300500_18,19,112961433236300500_18,1,1,112961433236300500
112961433236300500_19,20,112961433236300500_19,1,1,112961433236300500
112961433236300500_20,21,112961433236300500_20,1,1,112961433236300500
112961475236300500_1,2,112961475236300500_1,1,1,112961475236300500
112961475236300500_2,3,112961475236300500_2,1,1,112961475236300500
112961475236300500_3,4,112961475236300500_3,1,1,112961475236300500
112961475236300500_4,5,112961475236300500_4,1,1,112961475236300500
112961475236300500_5,6,112961475236300500_5,1,1,112961475236300500
112961475236300500_6,7,112961475236300500_6,1,1,112961475236300500
112961475236300500_7,8,112961475236300500_7,1,1,112961475236300500
112961475236300500_8,9,112961475236300500_8,1,1,112961475236300500
112961475236300500_9,10,112961475236300500_9,1,1,112961475236300500
112961475236300500_10,11,112961475236300500_10,1,1,112961475236300500
112961475236300500_11,12,112961475236300500_11,1,1,112961475236300500
112961475236300500_12,13,112961475236300500_12,1,1,112961475236300500
112961773236300500_1,2,112961773236300500_1,1,1,112961773236300500
112961773236300500_2,3,112961773236300500_2,1,1,112961773236300500
112961773236300500_3,4,112961773236300500_3,1,1,112961773236300500
112961773236300500_4,5,112961773236300500_4,1,1,112961773236300500
112961773236300500_5,6,112961773236300500_5,1,1,112961773236300500
112961773236300500_6,7,112961773236300500_6,1,1,112961773236300500
112961773236300500_7,8,112961773236300500_7,1,1,112961773236300500
112961773236300500_8,9,112961773236300500_8,1,1,112961773236300500
112961773236300500_9,10,112961773236300500_9,1,1,112961773236300500
112961832236300500_1,2,112961832236300500_1,2,1,112961832236300500
112961832236300500_2,3,112961832236300500_2,1,1,112961832236300500
112961832236300500_3,4,112961832236300500_3,1,1,112961832236300500
112961832236300500_4,5,112961832236300500_4,1,1,112961832236300500
112961832236300500_5,6,112961832236300500_5,1,1,112961832236300500
112961832236300500_6,7,112961832236300500_6,1,1,112961832236300500
112961832236300500_7,8,112961832236300500_7,1,1,112961832236300500
112961832236300500_8,9,112961832236300500_8,1,1,112961832236300500
112961832236300500_9,10,112961832236300500_9,1,1,112961832236300500
112961832236300500_10,11,112961832236300500_10,1,1,112961832236300500
112961832236300500_11,12,112961832236300500_11,1,1,112961832236300500
112961832236300500_12,13,112961832236300500_12,1,1,112961832236300500
112961832236300500_13,14,112961832236300500_13,1,1,112961832236300500
112961832236300500_14,15,112961832236300500_14,1,1,112961832236300500
114017147240311503_1,2,114017147240311503_1,2,1,114017147240311503
114017147240311503_2,3,114017147240311503_2,1,1,114017147240311503
114017147240311503_3,4,114017147240311503_3,1,1,114017147240311503
114017147240311503_4,5,114017147240311503_4,1,1,114017147240311503
114017147240311503_5,6,114017147240311503_5,1,1,114017147240311503
114017147240311503_6,7,114017147240311503_6,1,1,114017147240311503
114017147240311503_7,8,114017147240311503_7,1,1,114017147240311503
114017147240311503_8,9,114017147240311503_8,1,1,114017147240311503
114017147240311503_9,10,114017147240311503_9,1,1,114017147240311503
114017147240311503_10,11,114017147240311503_10,1,1,114017147240311503
114017147240311503_11,12,114017147240311503_11,1,1,114017147240311503
114017147240311503_12,13,114017147240311503_12,1,1,114017147240311503
114038239240389001_1,2,114038239240389001_1,2,1,114038239240389001
114038239240389001_2,3,114038239240389001_2,1,1,114038239240389001
114038239240389001_3,4,114038239240389001_3,1,1,114038239240389001
114038239240389001_4,5,114038239240389001_4,1,1,114038239240389001
114038239240389001_5,6,114038239240389001_5,1,1,114038239240389001
114038239240389001_6,7,114038239240389001_6,1,1,114038239240389001
114038239240389001_7,8,114038239240389001_7,1,1,114038239240389001
114038239240389001_8,9,114038239240389001_8,1,1,114038239240389001
114038239240389001_9,10,114038239240389001_9,1,1,114038239240389001
114038239240389001_10,11,114038239240389001_10,1,1,114038239240389001
114038239240389001_11,12,114038239240389001_11,1,1,114038239240389001
114038239240389001_12,13,114038239240389001_12,1,1,114038239240389001
114038239240389001_13,14,114038239240389001_13,1,1,114038239240389001
114038239240389001_14,15,114038239240389001_14,1,1,114038239240389001
114038239240389001_15,16,114038239240389001_15,1,1,114038239240389001
114038239240389001_16,17,114038239240389001_16,1,1,114038239240389001
114038239240389001_17,18,114038239240389001_17,1,1,114038239240389001
114038239240389001_18,19,114038239240389001_18,1,1,114038239240389001
114038239240389001_19,20,114038239240389001_19,1,1,114038239240389001
114038239240389001_20,21,114038239240389001_20,1,1,114038239240389001
114038414240389001_1,2,114038414240389001_1,1,1,114038414240389001
114038414240389001_2,3,114038414240389001_2,1,1,114038414240389001
114038414240389001_3,4,114038414240389001_3,1,1,114038414240389001
114038414240389001_4,5,114038414240389001_4,1,1,114038414240389001
114038414240389001_5,6,114038414240389001_5,1,1,114038414240389001
114038414240389001_6,7,114038414240389001_6,1,2,114038414240389001
112961518236300500_1,2,112961518236300500_1,1,1,112961518236300500
112961518236300500_2,3,112961518236300500_2,1,1,112961518236300500
112961518236300500_3,4,112961518236300500_3,1,1,112961518236300500
112961518236300500_4,5,112961518236300500_4,1,1,112961518236300500
112961518236300500_5,6,112961518236300500_5,1,1,112961518236300500
112961518236300500_6,7,112961518236300500_6,1,1,112961518236300500
112961518236300500_7,8,112961518236300500_7,1,1,112961518236300500
112961518236300500_8,9,112961518236300500_8,1,1,112961518236300500
112961518236300500_9,10,112961518236300500_9,1,1,112961518236300500
112961518236300500_10,11,112961518236300500_10,1,1,112961518236300500
112961518236300500_11,12,112961518236300500_11,1,1,112961518236300500
112961518236300500_12,13,112961518236300500_12,1,1,112961518236300500
112961518236300500_13,14,112961518236300500_13,1,1,112961518236300500
112961518236300500_14,15,112961518236300500_14,1,1,112961518236300500
112961518236300500_15,16,112961518236300500_15,1,2,112961518236300500
112961565236300500_1,2,112961565236300500_1,2,1,112961565236300500
112961565236300500_2,3,112961565236300500_2,1,1,112961565236300500
112961565236300500_3,4,112961565236300500_3,1,1,112961565236300500
112961565236300500_4,5,112961565236300500_4,1,1,112961565236300500
112961565236300500_5,6,112961565236300500_5,1,1,112961565236300500
112961565236300500_6,7,112961565236300500_6,1,1,112961565236300500
112961567236300500_1,2,112961567236300500_1,1,1,112961567236300500
112961567236300500_2,3,112961567236300500_2,1,1,112961567236300500
112961567236300500_3,4,112961567236300500_3,1,1,112961567236300500
112961567236300500_4,5,112961567236300500_4,1,1,112961567236300500
112961567236300500_5,6,112961567236300500_5,1,1,112961567236300500
112961567236300500_6,7,112961567236300500_6,1,1,112961567236300500
112961567236300500_7,8,112961567236300500_7,1,1,112961567236300500
112961567236300500_8,9,112961567236300500_8,1,1,112961567236300500
112961567236300500_9,10,112961567236300500_9,1,1,112961567236300500
112961567236300500_10,11,112961567236300500_10,1,1,112961567236300500
112961567236300500_11,12,112961567236300500_11,1,1,112961567236300500
112961567236300500_12,13,112961567236300500_12,1,1,112961567236300500
112961567236300500_13,14,112961567236300500_13,1,1,112961567236300500
112961567236300500_14,15,112961567236300500_14,1,1,112961567236300500
112961567236300500_15,16,112961567236300500_15,1,1,112961567236300500
112961567236300500_16,17,112961567236300500_16,1,1,112961567236300500
112961567236300500_17,18,112961567236300500_17,1,1,112961567236300500
112961567236300500_18,19,112961567236300500_18,1,1,112961567236300500
112961567236300500_19,20,112961567236300500_19,1,1,112961567236300500
112961567236300500_20,21,112961567236300500_20,1,1,112961567236300500
112961583236300500_1,2,112961583236300500_1,1,1,112961583236300500
112961583236300500_2,3,112961583236300500_2,1,1,112961583236300500
112961583236300500_3,4,112961583236300500_3,1,1,112961583236300500
112961583236300500_4,5,112961583236300500_4,1,1,112961583236300500
112961583236300500_5,6,112961583236300500_5,1,1,112961583236300500
112961583236300500_6,7,112961583236300500_6,1,1,112961583236300500
112961583236300500_7,8,112961583236300500_7,1,1,112961583236300500
112961583236300500_8,9,112961583236300500_8,1,1,112961583236300500
112961583236300500_9,10,112961583236300500_9,1,1,112961583236300500
112961583236300500_10,11,112961583236300500_10,1,1,112961583236300500
112961583236300500_11,12,112961583236300500_11,1,1,112961583236300500
112961583236300500_12,13,112961583236300500_12,1,1,112961583236300500
112961583236300500_13,14,112961583236300500_13,1,1,112961583236300500
112961583236300500_14,15,112961583236300500_14,1,1,112961583236300500
112961583236300500_15,16,112961583236300500_15,1,1,112961583236300500
112961583236300500_16,17,112961583236300500_16,1,1,112961583236300500
112961583236300500_17,18,112961583236300500_17,1,1,112961583236300500
112961583236300500_18,19,112961583236300500_18,1,1,112961583236300500
112961583236300500_19,20,112961583236300500_19,1,1,112961583236300500
112961583236300500_20,21,112961583236300500_20,1,1,112961583236300500
114037772240389001_1,2,114037772240389001_1,1,1,114037772240389001
114037772240389001_2,3,114037772240389001_2,1,1,114037772240389001
114037772240389001_3,4,114037772240389001_3,1,1,114037772240389001
114037772240389001_4,5,114037772240389001_4,1,1,114037772240389001
114037772240389001_5,6,114037772240389001_5,1,1,114037772240389001
114037772240389001_6,7,114037772240389001_6,1,1,114037772240389001
114037772240389001_7,8,114037772240389001_7,1,1,114037772240389001
114037772240389001_8,9,114037772240389001_8,1,1,114037772240389001
114037772240389001_9,10,114037772240389001_9,1,1,114037772240389001
114037772240389001_10,11,114037772240389001_10,1,1,114037772240389001
114037772240389001_11,12,114037772240389001_11,1,1,114037772240389001
114037772240389001_12,13,114037772240389001_12,1,1,114037772240389001
114037772240389001_13,14,114037772240389001_13,1,1,114037772240389001
114037772240389001_14,15,114037772240389001_14,1,1,114037772240389001
114037772240389001_15,16,114037772240389001_15,1,1,114037772240389001
114037772240389001_16,17,114037772240389001_16,1,1,114037772240389001
114037772240389001_17,18,114037772240389001_17,1,1,114037772240389001
114037772240389001_18,19,114037772240389001_18,1,1,114037772240389001
114037772240389001_19,20,114037772240389001_19,1,1,114037772240389001
114037772240389001_20,21,114037772240389001_20,1,2,114037772240389001
114038230240389001_1,2,114038230240389001_1,2,1,114038230240389001
114038230240389001_2,3,114038230240389001_2,1,1,114038230240389001
114038230240389001_3,4,114038230240389001_3,1,1,114038230240389001
114038230240389001_4,5,114038230240389001_4,1,1,114038230240389001
114038230240389001_5,6,114038230240389001_5,1,1,114038230240389001
114038230240389001_6,7,114038230240389001_6,1,1,114038230240389001
113461610238164502_1,2,113461610238164502_1,2,1,113461610238164502
113461610238164502_2,3,113461610238164502_2,1,1,113461610238164502
113461610238164502_3,4,113461610238164502_3,1,1,113461610238164502
113461610238164502_4,5,113461610238164502_4,1,1,113461610238164502
113461610238164502_5,6,113461610238164502_5,1,1,113461610238164502
113461610238164502_6,7,113461610238164502_6,1,1,113461610238164502
113984148240167004_1,2,113984148240167004_1,1,1,113984148240167004
113984148240167004_2,3,113984148240167004_2,1,1,113984148240167004
113984148240167004_3,4,113984148240167004_3,1,1,113984148240167004
113984148240167004_4,5,113984148240167004_4,1,1,113984148240167004
113984148240167004_5,6,113984148240167004_5,1,1,113984148240167004
113984148240167004_6,7,113984148240167004_6,1,1,113984148240167004
113984148240167004_7,8,113984148240167004_7,1,1,113984148240167004
113984148240167004_8,9,113984148240167004_8,1,1,113984148240167004
113984148240167004_9,10,113984148240167004_9,1,1,113984148240167004
113984148240167004_10,11,113984148240167004_10,1,1,113984148240167004
113984148240167004_11,12,113984148240167004_11,1,1,113984148240167004
113984148240167004_12,13,113984148240167004_12,1,1,113984148240167004
113984148240167004_13,14,113984148240167004_13,1,1,113984148240167004
113984148240167004_14,15,113984148240167004_14,1,1,113984148240167004
113984148240167004_15,16,113984148240167004_15,1,1,113984148240167004
113984148240167004_16,17,113984148240167004_16,1,1,113984148240167004
113984148240167004_17,18,113984148240167004_17,1,1,113984148240167004
113984148240167004_18,19,113984148240167004_18,1,1,113984148240167004
113984148240167004_19,20,113984148240167004_19,1,1,113984148240167004
113984148240167004_20,21,113984148240167004_20,1,1,113984148240167004
113984148240167004_21,22,113984148240167004_21,1,1,113984148240167004
113984148240167004_22,23,113984148240167004_22,1,1,113984148240167004
113984148240167004_23,24,113984148240167004_23,1,1,113984148240167004
113984148240167004_24,25,113984148240167004_24,1,1,113984148240167004
113984148240167004_25,26,113984148240167004_25,1,1,113984148240167004
113984148240167004_26,27,113984148240167004_26,1,1,113984148240167004
113984224240167004_1,2,113984224240167004_1,1,1,113984224240167004
113984224240167004_2,3,113984224240167004_2,1,1,113984224240167004
113984224240167004_3,4,113984224240167004_3,1,1,113984224240167004
113984224240167004_4,5,113984224240167004_4,1,1,113984224240167004
113984224240167004_5,6,113984224240167004_5,1,1,113984224240167004
113984224240167004_6,7,113984224240167004_6,1,1,113984224240167004
113984224240167004_7,8,113984224240167004_7,1,1,113984224240167004
113984224240167004_8,9,113984224240167004_8,1,1,113984224240167004
113984224240167004_9,10,113984224240167004_9,1,1,113984224240167004
113984224240167004_10,11,113984224240167004_10,1,1,113984224240167004
113984224240167004_11,12,113984224240167004_11,1,1,113984224240167004
113984224240167004_12,13,113984224240167004_12,1,1,113984224240167004
113984224240167004_13,14,113984224240167004_13,1,1,113984224240167004
113984224240167004_14,15,113984224240167004_14,1,1,113984224240167004
113984224240167004_15,16,113984224240167004_15,1,1,113984224240167004
113984224240167004_16,17,113984224240167004_16,1,1,113984224240167004
113984224240167004_17,18,113984224240167004_17,1,1,113984224240167004
113984224240167004_18,19,113984224240167004_18,1,1,113984224240167004
113984224240167004_19,20,113984224240167004_19,1,1,113984224240167004
113984224240167004_20,21,113984224240167004_20,1,1,113984224240167004
113984224240167004_21,22,113984224240167004_21,1,1,113984224240167004
113984224240167004_22,23,113984224240167004_22,1,1,113984224240167004
113984224240167004_23,24,113984224240167004_23,1,1,113984224240167004
113984224240167004_24,25,113984224240167004_24,1,1,113984224240167004
113984224240167004_25,26,113984224240167004_25,1,1,113984224240167004
113984224240167004_26,27,113984224240167004_26,1,2,113984224240167004
113984675240167004_1,2,113984675240167004_1,2,1,113984675240167004
113984675240167004_2,3,113984675240167004_2,1,1,113984675240167004
113984675240167004_3,4,113984675240167004_3,1,1,113984675240167004
113984675240167004_4,5,113984675240167004_4,1,1,113984675240167004
113984675240167004_5,6,113984675240167004_5,1,1,113984675240167004
113984675240167004_6,7,113984675240167004_6,1,1,113984675240167004
113984675240167004_7,8,113984675240167004_7,1,1,113984675240167004
113984675240167004_8,9,113984675240167004_8,1,1,113984675240167004
113984675240167004_9,10,113984675240167004_9,1,1,113984675240167004
113984675240167004_10,11,113984675240167004_10,1,1,113984675240167004
113984675240167004_11,12,113984675240167004_11,1,1,113984675240167004
113984675240167004_12,13,113984675240167004_12,1,1,113984675240167004
113984675240167004_13,14,113984675240167004_13,1,1,113984675240167004
113984675240167004_14,15,113984675240167004_14,1,1,113984675240167004
113984675240167004_15,16,113984675240167004_15,1,1,113984675240167004
113984675240167004_16,17,113984675240167004_16,1,1,113984675240167004
