id, location_val
113332529237469601_14,793970.1978311321 7087730.08972077
113332529237469601_15,793832.9239597496 7087479.939597278
113332529237469601_16,793693.7631566781 7087102.2221790925
113332529237469601_17,793817.9257716329 7086871.307417216
113332529237469601_18,794239.990324151 7086487.789101649
113332529237469601_19,794437.3257806095 7086320.782716234
113332529237469601_20,794814.7175850902 7086116.9343613
113332529237469601_21,795171.2187360424 7086038.955301399
113332529237469601_22,795305.6481386836 7086239.697165238
113332529237469601_23,795498.4278195949 7086044.556167984
113332529237469601_24,795612.7481558507 7085809.055158918
113332529237469601_25,795863.7559540684 7085725.185433129
113332705237469601_1,794216.3543543501 7089759.552342872
113332705237469601_2,793736.3758273514 7089753.232015895
113332705237469601_3,793548.8318922354 7089643.826789671
113332705237469601_4,793425.0012579246 7089434.822138895
113332705237469601_5,793019.343337738 7089371.94907949
113332705237469601_6,792547.2422769628 7089288.601585403
113332705237469601_7,792303.732270425 7088954.440391193
113332705237469601_8,792443.0162360937 7088567.212182908
113332530237469601_1,795824.6489686134 7085783.599270853
113332530237469601_2,795626.1134524338 7085848.415678098
113332530237469601_3,795515.4799333005 7086045.8519411795
113332530237469601_4,795244.4397610095 7086225.49484122
113332530237469601_5,795141.2961675881 7086006.336485809
113332530237469601_6,794746.536781608 7086159.922028778
113332530237469601_7,794407.790958035 7086348.376182591
113332530237469601_8,794207.4461402938 7086518.231356206
113332530237469601_9,793817.5114096721 7086883.34088106
113332530237469601_10,793710.6934572468 7087072.851820226
113332530237469601_11,793910.3539537197 7087552.150463058
113332530237469601_12,793978.1174680662 7087779.054701966
113332530237469601_13,793821.6865294648 7087891.471221155
113332530237469601_14,793865.5319948113 7088143.9487738935
113332530237469601_15,793794.9311678852 7088403.640305591
113332530237469601_16,793197.0956349357 7088428.9418646
113332530237469601_17,792810.3638305573 7088478.448088501
113332530237469601_18,792468.4151405534 7088604.759454973
113332530237469601_19,792318.5428556926 7088933.057249892
113332530237469601_20,792601.4759065268 7089313.473691203
113332530237469601_21,793071.4528807821 7089384.526518303
113332530237469601_22,793492.6332082064 7089417.338968169
113332530237469601_23,793554.5723987148 7089658.862915869
113332530237469601_24,793748.4093730497 7089750.424457594
113332530237469601_25,794170.7890706919 7089714.742597582
113332531237469601_1,792810.3638305573 7088478.448088501
113332531237469601_2,792468.4151405534 7088604.759454973
113332531237469601_3,792318.5428556926 7088933.057249892
113332531237469601_4,792601.4759065268 7089313.473691203
113332531237469601_5,793071.4528807821 7089384.526518303
113332531237469601_6,793492.6332082064 7089417.338968169
113332531237469601_7,793554.5723987148 7089658.862915869
113332531237469601_8,793748.4093730497 7089750.424457594
113332531237469601_9,794170.7890706919 7089714.742597582
113332584237469601_1,795824.6489686134 7085783.599270853
113332584237469601_2,795626.1134524338 7085848.415678098
113332584237469601_3,795515.4799333005 7086045.8519411795
113332584237469601_4,795244.4397610095 7086225.49484122
113332584237469601_5,795141.2961675881 7086006.336485809
113332584237469601_6,794746.536781608 7086159.922028778
113332584237469601_7,794407.790958035 7086348.376182591
113332584237469601_8,794207.4461402938 7086518.231356206
113332584237469601_9,793817.5114096721 7086883.34088106
113332584237469601_10,793710.6934572468 7087072.851820226
113332584237469601_11,793910.3539537197 7087552.150463058
113332584237469601_12,793978.1174680662 7087779.054701966
113332584237469601_13,793821.6865294648 7087891.471221155
113332584237469601_14,793865.5319948113 7088143.9487738935
113332584237469601_15,793794.9311678852 7088403.640305591
113332584237469601_16,793197.0956349357 7088428.9418646
113332584237469601_17,792810.3638305573 7088478.448088501
113332584237469601_18,792468.4151405534 7088604.759454973
113332584237469601_19,792318.5428556926 7088933.057249892
113332584237469601_20,792601.4759065268 7089313.473691203
113332584237469601_21,793071.4528807821 7089384.526518303
113332584237469601_22,793492.6332082064 7089417.338968169
113332584237469601_23,793554.5723987148 7089658.862915869
113332584237469601_24,793748.4093730497 7089750.424457594
113332584237469601_25,794170.7890706919 7089714.742597582
114039048240393603_1,792294.0394329627 7088488.4827659195
114039048240393603_2,792979.5788031857 7088430.210249154
114039048240393603_3,793266.7289559147 7088418.95920805
114039048240393603_4,793750.4481274254 7088423.516320214
114039048240393603_5,793845.5470218322 7088195.6765919095
114039048240393603_6,793794.5635759864 7087902.162956599
114039048240393603_7,793970.1978311321 7087730.08972077
114039048240393603_8,793832.9239597496 7087479.939597278
114039048240393603_9,793693.7631566781 7087102.2221790925
114039048240393603_10,793817.9257716329 7086871.307417216
114039048240393603_11,794239.990324151 7086487.789101649
114039048240393603_12,794437.3257806095 7086320.782716234
114039048240393603_13,794814.7175850902 7086116.9343613
114039048240393603_14,795171.2187360424 7086038.955301399
114039048240393603_15,795305.6481386836 7086239.697165238
114039048240393603_16,795498.4278195949 7086044.556167984
114039048240393603_17,795612.7481558507 7085809.055158918
114039048240393603_18,795863.7559540684 7085725.185433129
114039064240393603_1,792294.0394329627 7088488.4827659195
114039064240393603_2,792979.5788031857 7088430.210249154
114039064240393603_3,793266.7289559147 7088418.95920805
114039064240393603_4,793750.4481274254 7088423.516320214
114039064240393603_5,793845.5470218322 7088195.6765919095
114039064240393603_6,793794.5635759864 7087902.162956599
114039064240393603_7,793970.1978311321 7087730.08972077
114039064240393603_8,793832.9239597496 7087479.939597278
114039064240393603_9,793693.7631566781 7087102.2221790925
114039064240393603_10,793817.9257716329 7086871.307417216
114039064240393603_11,794239.990324151 7086487.789101649
114039064240393603_12,794437.3257806095 7086320.782716234
114039064240393603_13,794814.7175850902 7086116.9343613
114039064240393603_14,795171.2187360424 7086038.955301399
114039064240393603_15,795305.6481386836 7086239.697165238
114039064240393603_16,795498.4278195949 7086044.556167984
114039064240393603_17,795612.7481558507 7085809.055158918
114039064240393603_18,795863.7559540684 7085725.185433129
114039049240393603_1,795824.6489686134 7085783.599270853
114039049240393603_2,795626.1134524338 7085848.415678098
114039049240393603_3,795515.4799333005 7086045.8519411795
114039049240393603_4,795244.4397610095 7086225.49484122
114039049240393603_5,795141.2961675881 7086006.336485809
114039049240393603_6,794746.536781608 7086159.922028778
114039049240393603_7,794407.790958035 7086348.376182591
114039049240393603_8,794207.4461402938 7086518.231356206
114039049240393603_9,793817.5114096721 7086883.34088106
114039049240393603_10,793710.6934572468 7087072.851820226
114039049240393603_11,793910.3539537197 7087552.150463058
114039049240393603_12,793978.1174680662 7087779.054701966
114039049240393603_13,793821.6865294648 7087891.471221155
114039049240393603_14,793865.5319948113 7088143.9487738935
114039049240393603_15,793794.9311678852 7088403.640305591
114039049240393603_16,793197.0956349357 7088428.9418646
114039049240393603_17,792810.3638305573 7088478.448088501
114039049240393603_18,792468.4151405534 7088604.759454973
114039103240393603_1,795824.6489686134 7085783.599270853
114039103240393603_2,795626.1134524338 7085848.415678098
114039103240393603_3,795515.4799333005 7086045.8519411795
114039103240393603_4,795244.4397610095 7086225.49484122
114039103240393603_5,795141.2961675881 7086006.336485809
114039103240393603_6,794746.536781608 7086159.922028778
114039103240393603_7,794407.790958035 7086348.376182591
114039103240393603_8,794207.4461402938 7086518.231356206
114039103240393603_9,793817.5114096721 7086883.34088106
114039103240393603_10,793710.6934572468 7087072.851820226
114039103240393603_11,793910.3539537197 7087552.150463058
114039103240393603_12,793978.1174680662 7087779.054701966
114039103240393603_13,793821.6865294648 7087891.471221155
114039103240393603_14,793865.5319948113 7088143.9487738935
114039103240393603_15,793794.9311678852 7088403.640305591
114039103240393603_16,793197.0956349357 7088428.9418646
114039103240393603_17,792810.3638305573 7088478.448088501
114039103240393603_18,792468.4151405534 7088604.759454973
114039229240393603_1,795824.6489686134 7085783.599270853
114039229240393603_2,795626.1134524338 7085848.415678098
114039229240393603_3,795515.4799333005 7086045.8519411795
114039229240393603_4,795244.4397610095 7086225.49484122
114039229240393603_5,795141.2961675881 7086006.336485809
114039229240393603_6,794746.536781608 7086159.922028778
114039229240393603_7,794407.790958035 7086348.376182591
114039229240393603_8,794207.4461402938 7086518.231356206
114039229240393603_9,793817.5114096721 7086883.34088106
114039229240393603_10,793710.6934572468 7087072.851820226
114039229240393603_11,793910.3539537197 7087552.150463058
114039229240393603_12,793978.1174680662 7087779.054701966
114039229240393603_13,793821.6865294648 7087891.471221155
114039229240393603_14,793865.5319948113 7088143.9487738935
114039229240393603_15,793794.9311678852 7088403.640305591
114039229240393603_16,793197.0956349357 7088428.9418646
114039229240393603_17,792810.3638305573 7088478.448088501
114039229240393603_18,792468.4151405534 7088604.759454973
114070891240551604_1,795824.6489686134 7085783.599270853
114070891240551604_2,795626.1134524338 7085848.415678098
114070891240551604_3,795515.4799333005 7086045.8519411795
114070891240551604_4,795244.4397610095 7086225.49484122
114070891240551604_5,795141.2961675881 7086006.336485809
114070891240551604_6,794746.536781608 7086159.922028778
114070891240551604_7,794407.790958035 7086348.376182591
114070891240551604_8,794207.4461402938 7086518.231356206
114070891240551604_9,793817.5114096721 7086883.34088106
114070891240551604_10,793710.6934572468 7087072.851820226
114070891240551604_11,793910.3539537197 7087552.150463058
114070891240551604_12,793978.1174680662 7087779.054701966
114070891240551604_13,793821.6865294648 7087891.471221155
114070891240551604_14,793865.5319948113 7088143.9487738935
114070891240551604_15,793794.9311678852 7088403.640305591
114070891240551604_16,793197.0956349357 7088428.9418646
114070891240551604_17,792810.3638305573 7088478.448088501
114070891240551604_18,792468.4151405534 7088604.759454973
114070891240551604_19,792270.554390439 7088514.070095498
114070917240551604_1,795824.6489686134 7085783.599270853
114070917240551604_2,795626.1134524338 7085848.415678098
114070917240551604_3,795515.4799333005 7086045.8519411795
114070917240551604_4,795244.4397610095 7086225.49484122
114070917240551604_5,795141.2961675881 7086006.336485809
114070917240551604_6,794746.536781608 7086159.922028778
114070917240551604_7,794407.790958035 7086348.376182591
114070917240551604_8,794207.4461402938 7086518.231356206
114070917240551604_9,793817.5114096721 7086883.34088106
114070917240551604_10,793710.6934572468 7087072.851820226
114070917240551604_11,793910.3539537197 7087552.150463058
114070917240551604_12,793978.1174680662 7087779.054701966
114070917240551604_13,793821.6865294648 7087891.471221155
114070917240551604_14,793865.5319948113 7088143.9487738935
114070917240551604_15,793794.9311678852 7088403.640305591
114070917240551604_16,793197.0956349357 7088428.9418646
114070917240551604_17,792810.3638305573 7088478.448088501
114070917240551604_18,792468.4151405534 7088604.759454973
114070917240551604_19,792270.554390439 7088514.070095498
114071004240551604_1,795824.6489686134 7085783.599270853
114071004240551604_2,795626.1134524338 7085848.415678098
114071004240551604_3,795515.4799333005 7086045.8519411795
114071004240551604_4,795244.4397610095 7086225.49484122
114071004240551604_5,795141.2961675881 7086006.336485809
114071004240551604_6,794746.536781608 7086159.922028778
114071004240551604_7,794407.790958035 7086348.376182591
114071004240551604_8,794207.4461402938 7086518.231356206
114071004240551604_9,793817.5114096721 7086883.34088106
114071004240551604_10,793710.6934572468 7087072.851820226
114071004240551604_11,793910.3539537197 7087552.150463058
114071004240551604_12,793978.1174680662 7087779.054701966
114071004240551604_13,793821.6865294648 7087891.471221155
114071004240551604_14,793865.5319948113 7088143.9487738935
114071004240551604_15,793794.9311678852 7088403.640305591
114071004240551604_16,793197.0956349357 7088428.9418646
114071004240551604_17,792810.3638305573 7088478.448088501
114071004240551604_18,792468.4151405534 7088604.759454973
114071004240551604_19,792270.554390439 7088514.070095498
112945058236266600_1,789962.888946207 7086382.049539122
112945058236266600_2,790409.7204707289 7086366.096762549
112945058236266600_3,790801.0773777035 7086338.795578636
112945058236266600_4,791176.3233759722 7086196.987150101
112945058236266600_5,791496.7163321169 7086101.348690294
113009811236464500_1,789962.888946207 7086382.049539122
113009811236464500_2,790409.7204707289 7086366.096762549
113009811236464500_3,790801.0773777035 7086338.795578636
113009811236464500_4,791176.3233759722 7086196.987150101
113009811236464500_5,791496.7163321169 7086101.348690294
113009811236464500_6,791942.9199089766 7086317.617855146
113009811236464500_7,792412.9099041086 7086390.83802589
113009811236464500_8,792747.7415448264 7086373.661287032
113009811236464500_9,793026.684183269 7086239.181052088
113009811236464500_10,793487.2874833837 7086030.725536065
113009811236464500_11,793765.370436655 7086062.602362764
113009811236464500_12,793554.226819423 7086569.316879943
113009811236464500_13,793411.535679571 7086891.566667734
113009811236464500_14,793521.4862081236 7087161.981251354
113009811236464500_15,793660.3480086301 7087490.969873021
113009811236464500_16,793821.6865294648 7087891.471221155
113009811236464500_17,794051.8362696962 7087803.377301836
113009811236464500_18,794179.7114472985 7088174.450819449
113009811236464500_19,794413.045333002 7088413.976973542
113009811236464500_20,794656.3045272031 7088603.62439672
113009811236464500_21,794900.122016061 7089107.023277645
113009811236464500_22,795556.8695727328 7089610.487045793
113009821236464500_1,789962.888946207 7086382.049539122
113009821236464500_2,790409.7204707289 7086366.096762549
113009821236464500_3,790801.0773777035 7086338.795578636
113009821236464500_4,791176.3233759722 7086196.987150101
113009821236464500_5,791496.7163321169 7086101.348690294
113009821236464500_6,791942.9199089766 7086317.617855146
113009821236464500_7,792412.9099041086 7086390.83802589
113009821236464500_8,792747.7415448264 7086373.661287032
113009821236464500_9,793026.684183269 7086239.181052088
113009821236464500_10,793487.2874833837 7086030.725536065
113009821236464500_11,793765.370436655 7086062.602362764
113009821236464500_12,793554.226819423 7086569.316879943
113009821236464500_13,793411.535679571 7086891.566667734
113009821236464500_14,793521.4862081236 7087161.981251354
113009821236464500_15,793660.3480086301 7087490.969873021
113009821236464500_16,793821.6865294648 7087891.471221155
113009821236464500_17,794051.8362696962 7087803.377301836
113009821236464500_18,794179.7114472985 7088174.450819449
113009821236464500_19,794413.045333002 7088413.976973542
113009821236464500_20,794656.3045272031 7088603.62439672
113009821236464500_21,794900.122016061 7089107.023277645
113009821236464500_22,795696.2268512764 7089592.367027117
113010096236464500_1,794179.7114472985 7088174.450819449
113010096236464500_2,794413.045333002 7088413.976973542
113010096236464500_3,794656.3045272031 7088603.62439672
113010096236464500_4,794900.122016061 7089107.023277645
113010096236464500_5,795556.8695727328 7089610.487045793
114042347240383004_1,793792.0151447807 7086055.693034938
114042347240383004_2,793554.226819423 7086569.316879943
114042347240383004_3,793411.535679571 7086891.566667734
114042347240383004_4,793521.4862081236 7087161.981251354
114042347240383004_5,793660.3480086301 7087490.969873021
114042347240383004_6,793821.6865294648 7087891.471221155
114042347240383004_7,794051.8362696962 7087803.377301836
114042347240383004_8,794179.7114472985 7088174.450819449
114042347240383004_9,794413.045333002 7088413.976973542
114042347240383004_10,794656.3045272031 7088603.62439672
114042347240383004_11,794900.122016061 7089107.023277645
114042347240383004_12,795696.2268512764 7089592.367027117
112945057236266600_1,793423.4482400334 7086850.070941126
112945057236266600_2,793568.8660681719 7086525.191790804
112945057236266600_3,793750.7012379209 7086041.284889829
112945057236266600_4,793424.3912579372 7086074.709770041
112945057236266600_5,792998.0809754038 7086253.642263111
112945057236266600_6,792647.6897320781 7086421.049139938
112945057236266600_7,792284.5578945038 7086383.692899191
112945057236266600_8,791920.9804887244 7086313.242273706
112945057236266600_9,791470.7882604068 7086094.902682794
112945057236266600_10,791200.4552388521 7086192.476978424
112945057236266600_11,790770.8136539663 7086347.332433558
112945057236266600_12,790379.5117797621 7086375.639982633
112945057236266600_13,789918.8943622818 7086380.335691065
112945064236266600_1,794173.4581747747 7088127.1857447075
112945064236266600_2,794106.1602175038 7087848.444130835
112945064236266600_3,793794.5466775964 7087903.1660566665
112945064236266600_4,793662.9921099227 7087514.092060708
112945064236266600_5,793498.3627819663 7087123.353275662
112945064236266600_6,793423.4482400334 7086850.070941126
112945064236266600_7,793568.8660681719 7086525.191790804
112945064236266600_8,793822.0345954087 7086028.550541068
113009829236464500_1,795525.0371433651 7089608.268282967
113009829236464500_2,794829.780332775 7089001.581994575
113009829236464500_3,794630.5109702 7088590.1417272985
113009829236464500_4,794329.8495352095 7088358.494957708
113009829236464500_5,794173.4581747747 7088127.1857447075
113009829236464500_6,794106.1602175038 7087848.444130835
113009829236464500_7,793794.5466775964 7087903.1660566665
113009829236464500_8,793662.9921099227 7087514.092060708
113009829236464500_9,793498.3627819663 7087123.353275662
113009829236464500_10,793423.4482400334 7086850.070941126
113009829236464500_11,793568.8660681719 7086525.191790804
113009829236464500_12,793750.7012379209 7086041.284889829
113009829236464500_13,793424.3912579372 7086074.709770041
113009829236464500_14,792998.0809754038 7086253.642263111
113009829236464500_15,792647.6897320781 7086421.049139938
113009829236464500_16,792284.5578945038 7086383.692899191
113009829236464500_17,791920.9804887244 7086313.242273706
113009829236464500_18,791470.7882604068 7086094.902682794
113009829236464500_19,791200.4552388521 7086192.476978424
113009829236464500_20,790770.8136539663 7086347.332433558
113009829236464500_21,790379.5117797621 7086375.639982633
113009829236464500_22,789918.8943622818 7086380.335691065
113009852236464500_1,793750.7012379209 7086041.284889829
113009852236464500_2,793424.3912579372 7086074.709770041
113009852236464500_3,792998.0809754038 7086253.642263111
113009852236464500_4,792647.6897320781 7086421.049139938
113009852236464500_5,792284.5578945038 7086383.692899191
113009852236464500_6,791920.9804887244 7086313.242273706
113009852236464500_7,791470.7882604068 7086094.902682794
113009852236464500_8,791200.4552388521 7086192.476978424
113009852236464500_9,790770.8136539663 7086347.332433558
113009852236464500_10,790379.5117797621 7086375.639982633
113009852236464500_11,789918.8943622818 7086380.335691065
113009854236464500_1,795530.0520240929 7089599.546609969
113009854236464500_2,794829.780332775 7089001.581994575
113009854236464500_3,794630.5109702 7088590.1417272985
113009854236464500_4,794329.8495352095 7088358.494957708
113009854236464500_5,794173.4581747747 7088127.1857447075
113009854236464500_6,794106.1602175038 7087848.444130835
113009854236464500_7,793794.5466775964 7087903.1660566665
113009854236464500_8,793662.9921099227 7087514.092060708
113009854236464500_9,793498.3627819663 7087123.353275662
113009854236464500_10,793423.4482400334 7086850.070941126
113009854236464500_11,793568.8660681719 7086525.191790804
113009854236464500_12,793750.7012379209 7086041.284889829
113009854236464500_13,793424.3912579372 7086074.709770041
113009854236464500_14,792998.0809754038 7086253.642263111
113009854236464500_15,792647.6897320781 7086421.049139938
113009854236464500_16,792284.5578945038 7086383.692899191
113009854236464500_17,791920.9804887244 7086313.242273706
113009854236464500_18,791470.7882604068 7086094.902682794
113009854236464500_19,791200.4552388521 7086192.476978424
113009854236464500_20,790770.8136539663 7086347.332433558
113009854236464500_21,790379.5117797621 7086375.639982633
113009854236464500_22,789918.8943622818 7086380.335691065
113010049236464500_1,791470.7882604068 7086094.902682794
